date,RECESSION,CPI,FEDFUNDS,INDPRO,PAYEMS,SP500,UNEMPLOY,YC
9/1/1964,n,0.000967898,0.08,0.00650696,0.003537528,-0.016362985,0.047,0.73
10/1/1964,n,0.000322425,-0.05,0.003701246,0.004833147,0.028313414,0.057,0.8
11/1/1964,n,0.000966651,-0.09,-0.013947499,-0.001869223,0.008045488,0.014,0.68
12/1/1964,n,0.000965717,0.16,0.030432361,0.00720275,-0.005198535,-0.175,0.36
1/1/1965,n,0.001286174,0.33,0.011738066,0.00342215,0.00390143,0.1,0.29
2/1/1965,n,0.002887857,0.05,0.010713945,0.002705816,0.032618504,-0.079,0.24
3/1/1965,n,0.00128082,0.08,0.006199057,0.003652146,-0.001485777,0.158,0.15
4/1/1965,n,0.000959539,0.07,0.013149398,0.0033889,-0.014632394,-0.22,0.12
5/1/1965,n,0,0.04,0.004347076,0.004257378,0.033665494,0.085,0.13
6/1/1965,n,0.00095862,0.01,0.007774323,0.003842655,-0.007773407,-0.163,0.15
7/1/1965,n,0.002233212,-0.05,0.007717432,0.003284346,-0.049853779,-0.045,0.13
8/1/1965,n,0.003181676,0.04,0.00934919,0.004520989,0.01334373,-0.086,0.15
9/1/1965,n,0.004121103,0.03,0.004219248,0.004304672,0.022272096,-0.047,0.33
10/1/1965,n,-0.000949517,-0.1,0.002524851,0.004269959,0.031504904,-0.038,0.33
11/1/1965,n,-0.00095042,0.06,0.010036134,0.003717265,0.026978268,-0.073,0.38
12/1/1965,n,0.002216243,0.02,0.004149185,0.004478042,-0.008802937,-0.07,0.33
1/1/1966,n,0.000948317,0.22,0.012351159,0.005244627,0.008911154,-0.042,0.27
2/1/1966,n,0.003154577,0.1,0.009771667,0.003315956,0.004856704,-0.043,0.42
3/1/1966,n,0.003144657,0.18,0.006463736,0.004260928,-0.018034123,-0.168,0.05
4/1/1966,n,0.000941472,0.06,0.013592529,0.006286334,-0.022056843,0.067,0.12
5/1/1966,n,0.006253929,0.01,0.001587716,0.003869577,0.020301268,-0.059,-0.1
6/1/1966,n,0.003112359,0.23,0.009470882,0.00432564,-0.05566086,0.122,-0.2
7/1/1966,n,0.003102702,0.27,0.004703427,0.006243028,-0.016270026,-0.078,-0.25
8/1/1966,n,0.002166178,0.13,0.005456709,0.002959227,-0.013544225,0.004,-0.17
9/1/1966,n,0.000926927,0.23,0.000777506,0.003198562,-0.080940242,0.024,-0.38
10/1/1966,n,0.002159495,-0.13,0.00928044,0.002106079,-0.007028534,-0.102,-0.56
11/1/1966,n,0.006144413,0.13,0.006903553,0.003258766,0.046448756,0,-0.64
12/1/1966,n,0.003058106,0.23,-0.006903553,0.002540945,0.003112359,-0.028,-0.76
1/1/1967,n,0.003048783,-0.36,0.002307408,0.002764597,-0.001492661,0.142,-0.42
2/1/1967,n,0.000912825,-0.46,0.004706568,0.003185155,0.075272119,0.056,-0.28
